k_therm (W/(m*K)),alpha_cte (1/K),E_mod (Pa),Cp_ (J/(kg*K)),rho_ (kg/m^3),Time (s),Temperature (K),von Mises stress (N/m^2)
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,0,293.1500004,1.324557497
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,0.5,320.8276859,1.15E+08
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,1,373.2492438,3.24E+08
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,1.5,443.0523537,5.96E+08
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,2,526.8018429,9.22E+08
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,2.5,622.1520548,1.29E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,3,727.6740068,1.71E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,3.5,842.4995067,2.16E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,4,965.4870925,2.65E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,4.5,1095.976204,3.16E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,5,1225.457555,3.68E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,5.5,1341.437345,4.16E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,6,1439.380397,4.56E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,6.5,1525.782113,4.93E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,7,1603.352629,5.26E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,7.5,1673.741721,5.56E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,8,1738.191701,5.84E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,8.5,1797.711599,6.09E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,9,1853.075047,6.33E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,9.5,1904.976459,6.56E+09
21.59770556,9.46E-06,4.48E+11,674.9733644,6934.831164,10,1954.004392,6.78E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,0,293.1500003,0.787027132
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,0.5,318.7507596,7.08E+07
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,1,367.1994914,1.98E+08
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,1.5,431.7117937,3.65E+08
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,2,509.1593872,5.64E+08
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,2.5,597.4116865,7.92E+08
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,3,695.1655627,1.04E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,3.5,801.6245227,1.32E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,4,915.7388503,1.62E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,4.5,1036.897551,1.94E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,5,1157.231655,2.25E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,5.5,1265.187138,2.54E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,6,1356.532175,2.79E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,6.5,1437.334084,3.02E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,7,1510.040491,3.22E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,7.5,1576.092612,3.41E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,8,1636.675536,3.58E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,8.5,1692.683677,3.74E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,9,1744.822077,3.89E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,9.5,1793.700594,4.03E+09
22.60684974,6.17E-06,4.55E+11,638.8346726,8154.6496,10,1839.921326,4.16E+09
18.13238738,7.96E-06,4.74E+11,539.983021,7499.964972,0,293.1500004,1.361407859
18.13238738,7.96E-06,4.74E+11,539.983021,7499.964972,0.5,325.598844,1.20E+08
18.13238738,7.96E-06,4.74E+11,539.983021,7499.964972,1,387.03122,3.38E+08
